"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 11 14:40:39 CST 2020","Wed Mar 11 14:40:41 CST 2020","1123","test_cases.web_test","test_delRole","TestRole","","","test_add_role",""
"passed","Wed Mar 11 14:40:34 CST 2020","Wed Mar 11 14:40:37 CST 2020","2556","test_cases.web_test","test_delRole","TestLogin","","","test_login",""
